,Country ,Capital ,Native /Official Language
203,South AfricaSuid-AfrikaiNingizimu AfrikauMzantsi AfrikaAfrika-BorwaAfrika BorwaAforika BorwaAfurika TshipembeAfrika DzongaiNingizimu AfrikaiSewula Afrika,"Pretoria, Cape TownPretoria, KaapstadiPitoli, iKapaiPitoli, iKapaPretoriaPretoriaPretoriaPretoriaPitoriiPitoliiPitori","EnglishAfrikaansisiZuluisiXhosaPediSothoTswanaVendaTsongaSwaziNdebele
"
204,South Sudan  Sudan Kusini Paguot Thudän,Juba Juba Juba,"English Swahili  Dinka
"
205,EspañaEspanyaEspainiaEspanha,MadridMadridMadrilMadrid,"Spanish, GalicianCatalanBasqueAranese, Galician (R)
"
206,Sri Lankāශ්‍රී ලංකාවஇலங்கை,Sri Jayawardenapura Kotteශ්‍රී ජයවර්ධනපුර කෝට්ටේஶ்ரீ ஜெயவர்த்தனபுரம் கோட்டை,"SinhalaTamil
"
207,As-Sudanالسودان,Al-Khartûmالخرطوم,"Arabic(Arabic script)
"
208,Suriname,Paramaribo,"Dutch
"
209,Svalbard,Longyearbyen,"Norwegian
"
210,Sverige,Stockholm,"Swedish
"
211,SchweizSuisseSvizzeraSvizra,BernBerneBernaBerna,"GermanFrenchItalianRomansh
"
212,Suriyahسورية,Dimashq / Ash-Shamالشام / دمشق,"Arabic(Arabic script)
"
213,Zhōnghuá Mínguó or Táiwān中華民國 or 臺灣/台灣,Táiběi臺北/台北,"Chinese(Traditional Chinese characters)
"
214,TojikistanТоҷикистон,DushanbeДушанбе,"Tajiki-Persian(Cyrillic)
"
215,Tanzania,Dodoma,"English, Swahili
"
216,"Thai, Prathet Thai, Ratcha-anachak Thaiไทย, ประเทศไทย, ราชอาณาจักรไทย","Krung Thep, Krung Thep Maha Nakhonกรุงเทพฯ, กรุงเทพมหานคร","Thai(Thai script)
"
217,Togo Togo Togo,Lomé  Lome  Loma,"French Ewe  Kabiye
"
218, Tokelau,,"English, Tokelauan
"
219,Tonga,Nukuʻalofa,"Tongan, English
"
220,Trinidad and Tobago,Port of Spain,"English
"
221,TunesⵜⵓⵏⵙTūnsتونس,TunesⵜⵓⵏⵙTūnsتونس,"Berber language(Tifinagh script)Arabic(Arabic script)
"
222,Türkiye,Ankara,"Turkish
"
223,Türkmenistan,Aşgabat,"Turkmen
"
224,Turks and Caicos Islands,Cockburn Town,"English
"
225,Tuvalu,Fongafale,"English, Tuvaluan
"
